Lattice-Based Model of Ductal Carcinoma In Situ Suggests Rules for Breast Cancer Progression to an Invasive State,"Ductal carcinoma in situ (DCIS) is a heterogeneous group of non-invasive lesions of the breast that result from abnormal proliferation of mammary epithelial cells. Pathologists characterize DCIS by four tissue morphologies (micropapillary, cribriform, solid, and comedo), but the underlying mechanisms that distinguish the development and progression of these morphologies are not well understood. Here we explored the conditions leading to the emergence of the different morphologies of DCIS using a two-dimensional multi-cell lattice-based model that incorporates cell proliferation, apoptosis, necrosis, adhesion, and contractility. We found that the relative rates of cell proliferation and apoptosis governed which of the four morphologies emerged. High proliferation and low apoptosis favored the emergence of solid and comedo morphologies. In contrast, low proliferation and high apoptosis led to the micropapillary morphology, whereas high proliferation and high apoptosis led to the cribriform morphology. The natural progression between morphologies cannot be investigated in vivo since lesions are usually surgically removed upon detection; however, our model suggests probable transitions between these morphologies during breast cancer progression. Importantly, cribriform and comedo appear to be the ultimate morphologies of DCIS. Motivated by previous experimental studies demonstrating that tumor cells behave differently depending on where they are located within the mammary duct in vivo or in engineered tissues, we examined the effects of tissue geometry on the progression of DCIS. In agreement with our previous experimental work, we found that cells are more likely to invade from the end of ducts and that this preferential invasion is regulated by cell adhesion and contractility. This model provides additional insight into tumor cell behavior and allows the exploration of phenotypic transitions not easily monitored in vivo."
Using Mathematical Modelling as a Virtual Microscope to Support Biomedical Research,"This chapter will explain what kind of support mathematics can give to biology and medicine. In order to explain the concepts in practice cell migration is used as a specific example. This phenomenon is of great biomedical interest because it is a fundamental phenomenon both in physiological (e.g. wound healing, immune response) and pathological processes (e.g. chronic inflammation, detachment of metastasis and related tissue invasion). Also a key feature of any artificial system aimed atmimicking biological structures is to allow and enhance cellmigration on or inside it. At the same time anti-cancer treatment can become more efficient blocking cell’s capability to migrate towards distant sites and invade different organs."
Integrating multi-scale knowledge on cardiac development into a computational model of ventricular trabeculation,"Insights into the mechanisms of development of the mammalian four-chamberedheart are based on biological observations at organ, tissue, cell, and molecularlevels, but the full integration of these experimental data awaits a systems biologyapproach. Such an approach can be employed to formulate and test conceptualmodels in a computational simulation. To illustrate how this can be applied toheart development, we used the process of trabeculation, which is the formationof muscular strands during chamber development. We selected this processbecause it is localized, involves a restricted number of cell types, and a rangeof experimental data is available. Trabeculation of the ventricles is based onthe interplay between endocardial and myocardial cells and involves molecularpathways underlying cell–cell interactions and tissue-speciﬁc cell behavior. Acellular Potts model was used for the simulation of these multi-scale processes.With fairly simple inputs, of which the relative contributions are unknown, aniterative exploration achieved an outcome that resembles the trabeculation processand allows further investigation of contributing factors. The systems biologypipeline from biological observations and conceptual modeling to a mathematicalmodel and computational algorithms is described and discussed. The multi-levelbiological observations provide the components and their connections of theconceptual model. However, the true strength of systems biology must be foundin the biological test of the predictions that result from an experimental change inthe computational model. These validated predictions will ultimately elucidate thefunctional role of a component or interaction in the process of heart development"
Multiscale modeling of the early CD8 T cell immune response in lymph nodes: an integrative study,"CD8 T-cells are critical in controlling infection by intracellular pathogens. Upon encountering antigen presenting cells, T-cell receptor activation promotes the differentiation of naïve CD8 T-cells into strongly proliferating activated and effector stages. We propose a 2D-multiscale computational model to study the maturation of CD8 T-cells in a lymph node controlled by their molecular profile. A novel molecular pathway is presented and converted into an ordinary differential equation model, coupled with a cellular Potts model to describe cell-cell interactions. Key molecular players such as activated IL2 receptor and Tbet levels control the differentiation from naïve into activated and effector stages, respectively, while caspases and Fas-Fas ligand interactions control cell apoptosis. Coupling this molecular model to the cellular scale successfully reproduces qualitatively the evolution of total CD8 T-cell counts observed in mice lymph node, between Day 3 and 5.5 post-infection. Furthermore, this model allows us to make testable predictions of the evolution of the different CD8 T-cell stages."
Somites Without a Clock,"The formation of body segments (somites) in vertebrate embryos is accompanied by molecular oscillations (segmentation clock). Interaction of this oscillator with a wave traveling along the body axis (the clock-and-wavefront model) is generally believed to control somite number, size, and axial identity. Here we show that a clock-and-wavefront mechanism is unnecessary for somite formation. Non-somite mesoderm treated with Noggin generates many somites that form simultaneously, without cyclic expression of Notch-pathway genes, yet have normal size, shape, and fate. These somites have axial identity: The Hox code is fixed independently of somite fate. However, these somites are not subdivided into rostral and caudal halves, which is necessary for neural segmentation. We propose that somites are self-organizing structures whose size and shape is controlled by local cell-cell interactions."
Dynamics of cell aggregates fusion: Experiments and simulations,"Fusion of cell tissues is an ubiquitous phenomenon and has important technological applications including tissue biofabrication. In this work we present experimental results of aggregates fusion using adipose derived stem cells (ADSC) and a three dimensional computer simulation of the process using the cellular Potts model with aggregates reaching 10,000 cells. We consider fusion of round aggregates and monitor the dimensionless neck area of contact between the two aggregates to characterize the process, as done for the coalescence of liquid droplets and polymers. Both experiments and simulations show that the evolution of this quantity obeys a power law in time. We also study quantitatively individual cell motion with the simulation and it corresponds to an anomalous diffusion."
Synergy of cell–cell repulsion and vacuolation in a computational model of lumen formation,"A key step in blood vessel development (angiogenesis) is lumen formation: the hollowing of vessels for blood perfusion. Two alternative lumen formation mechanisms are suggested to function in different types of blood vessels. The vacuolation mechanism is suggested for lumen formation in small vessels by coalescence of intracellular vacuoles, a view that was extended to extracellular lumen formation by exocytosis of vacuoles. The cell–cell repulsion mechanism is suggested to initiate extracellular lumen formation in large vessels by active repulsion of adjacent cells, and active cell shape changes extend the lumen. We used an agent-based computer model, based on the cellular Potts model, to compare and study both mechanisms separately and combined. An extensive sensitivity analysis shows that each of the mechanisms on its own can produce lumens in a narrow region of parameter space. However, combining both mechanisms makes lumen formation much more robust to the values of the parameters, suggesting that the mechanisms may work synergistically and operate in parallel, rather than in different vessel types."
"The effects of cell compressibility, motility and contact inhibition on the growth of tumor cell clusters using the Cellular Potts Model","There are numerous biological examples where genes associated with migratory ability of cells also confer the cells with an increased fitness even though these genes may not have any known effect on the cell mitosis rates. Here, we provide insight into these observations by analyzing the effects of cell migration, compression, and contact inhibition on the growth of tumor cell clusters using the Cellular Potts Model (CPM) in a monolayer geometry. This is a follow-up of a previous study (Thalhauser et al. 2010) in which a Moran-type model was used to study the interaction of cell proliferation, migratory potential and death on the emergence of invasive phenotypes. Here, we extend the study to include the effects of cell size and shape. In particular, we investigate the interplay between cell motility and compressibility within the CPM and find that the CPM predicts that increased cell motility leads to smaller cells. This is an artifact in the CPM. An analysis of the CPM reveals an explicit inverse-relationship between the cell stiffness and motility parameters. We use this relationship to compensate for motility-induced changes in cell size in the CPM so that in the corrected CPM, cell size is independent of the cell motility. We find that subject to comparable levels of compression, clusters of motile cells grow faster than clusters of less motile cells, in qualitative agreement with biological observations and our previous study. Increasing compression tends to reduce growth rates. Contact inhibition penalizes clumped cells by halting their growth and gives motile cells an even greater advantage. Finally, our model predicts cell size distributions that are consistent with those observed in clusters of neuroblastoma cells cultured in low and high density conditions."
Advances in Modelling of Epithelial to Mesenchymal Transition,"This paper presents simulations of in vitro Epithelial to Mesenchymal Transition (EMT). The conditions of 2D migration on the surface, and 3D invasion into a collagen gel are represented as a cellular Potts model. The model demonstrates that a loss of endocardial adhesion is a sufficient condition for 2D migration behaviour, while a simultaneous loss of endocardial cohesion and gain in endocardial to collagen gel adhesion is a sufficient condition for 3D invasion. The 3D model captures the hierarchy effective surface tensions that correspond to the three experimental conditions of stable monolayer, 2D migration, and 3D invasion. A 2D cellular Potts model is used to investigate the relationship between cell shape changes, motility and adhesion during the condition of 2D migration."
A design principle underlying the paradoxical roles of E3 ubiquitin ligases,"E3 ubiquitin ligases are important cellular components that determine the specificity of proteolysis in the ubiquitin-proteasome system. However, an increasing number of studies have indicated that E3 ubiquitin ligases also participate in transcription. Intrigued by the apparently paradoxical functions of E3 ubiquitin ligases in both proteolysis and transcriptional activation, we investigated the underlying design principles using mathematical modeling. We found that the antagonistic functions integrated in E3 ubiquitin ligases can prevent any undesirable sustained activation of downstream genes when E3 ubiquitin ligases are destabilized by unexpected perturbations. Interestingly, this design principle of the system is similar to the operational principle of a safety interlock device in engineering systems, which prevents a system from abnormal operation unless stability is guaranteed."
